Building,Floor,Suite,Room,Bed,Room Type,Suite Size (if applicable),Room Gender,Room Profile
CHAPIN HOUSE,CHAPIN FL 3,CHAPIN 307,CHAPIN 307,CHAPIN 307-2,Double,,CoEd,24-25 Fall Senior Selection
CHAPIN HOUSE,CHAPIN FL 3,CHAPIN 310,CHAPIN 310,CHAPIN 310-1,Single,,CoEd,24-25 Fall Senior Selection
CHAPIN HOUSE,CHAPIN FL 3,CHAPIN 311,CHAPIN 311,CHAPIN 311-1,Single,,CoEd,24-25 Fall Senior Selection
CHAPIN HOUSE,CHAPIN FL 3,CHAPIN 312,CHAPIN 312,CHAPIN 312-1,Single,,CoEd,24-25 Fall Senior Selection
CHAPIN HOUSE,CHAPIN FL 3,CHAPIN 314,CHAPIN 314,CHAPIN 314-1,Double,,CoEd,24-25 Fall Senior Selection
CHAPIN HOUSE,CHAPIN FL 3,CHAPIN 314,CHAPIN 314,CHAPIN 314-2,Double,,CoEd,24-25 Fall Senior Selection
CHAPIN HOUSE,CHAPIN FL 3,CHAPIN 317,CHAPIN 317,CHAPIN 317-1,Double,,CoEd,24-25 Fall Senior Selection
CHAPIN HOUSE,CHAPIN FL 3,CHAPIN 317,CHAPIN 317,CHAPIN 317-2,Double,,CoEd,24-25 Fall Senior Selection
CHAPIN HOUSE,CHAPIN FL 3,CHAPIN 319,CHAPIN 319,CHAPIN 319-1,Single,,CoEd,24-25 Fall Senior Selection
CHAPIN HOUSE,CHAPIN FL 3,CHAPIN 320,CHAPIN 320,CHAPIN 320-1,Single,,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 1,CHEN 113,CHEN 113 113A,CHEN 113 113A-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 1,CHEN 113,CHEN 113 113B,CHEN 113 113B-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 1,CHEN 113,CHEN 113 113C,CHEN 113 113C-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 1,CHEN 113,CHEN 113 113D,CHEN 113 113D-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 1,CHEN 117,CHEN 117 117A,CHEN 117 117A-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 1,CHEN 117,CHEN 117 117B,CHEN 117 117B-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 1,CHEN 117,CHEN 117 117C,CHEN 117 117C-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 1,CHEN 117,CHEN 117 117D,CHEN 117 117D-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 2,CHEN 202,CHEN 202 202A,CHEN 202 202A-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 2,CHEN 202,CHEN 202 202B,CHEN 202 202B-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 2,CHEN 202,CHEN 202 202C,CHEN 202 202C-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 2,CHEN 202,CHEN 202 202D,CHEN 202 202D-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 2,CHEN 206,CHEN 206 206A,CHEN 206 206A-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
Building,Floor,Suite,Room,Bed,Room Type,Suite Size (if applicable),Room Gender,Room Profile
CHEN FAMILY HALL,CHEN FL 2,CHEN 206,CHEN 206 206B,CHEN 206 206B-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 2,CHEN 206,CHEN 206 206C,CHEN 206 206C-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 2,CHEN 206,CHEN 206 206D,CHEN 206 206D-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 2,CHEN 213,CHEN 213 213A,CHEN 213 213A-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 2,CHEN 213,CHEN 213 213B,CHEN 213 213B-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 2,CHEN 213,CHEN 213 213C,CHEN 213 213C-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 2,CHEN 213,CHEN 213 213D,CHEN 213 213D-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 2,CHEN 217,CHEN 217 217A,CHEN 217 217A-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 2,CHEN 217,CHEN 217 217B,CHEN 217 217B-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 2,CHEN 217,CHEN 217 217C,CHEN 217 217C-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 2,CHEN 217,CHEN 217 217D,CHEN 217 217D-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 3,CHEN 301,CHEN 301 301A,CHEN 301 301A-1,Single (Suite/Apartment),2,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 3,CHEN 301,CHEN 301 301B,CHEN 301 301B-1,Single (Suite/Apartment),2,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 3,CHEN 302,CHEN 302 302A,CHEN 302 302A-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 3,CHEN 302,CHEN 302 302B,CHEN 302 302B-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
